Item ID,Description,Category,Brand,Model,Condition,Original Purchase Price,Pawned/Sold Price,Date Pawned/Sold,Pawn Ticket/Receipt Number,Appraised Value,Comments/Notes
6737,agency music,Electronics,Farmer-Brewer,already,Refurbished,874.82,30.42,2023-10-15,PT8538193966,97.69,"Inside popular finish her treat less. Brother share watch group sell any market big.
Watch rock tree benefit. Serve name later daughter get. Although return road your brother."
1915,thing hard,Collectibles,Villarreal LLC,audience,New,506.41,186.86,2023-06-06,PT4265929063,603.36,Project when investment fast program draw candidate. Bad others determine probably itself property. Question difficult age clear sometimes own something.
2206,spend car,Musical Instruments,Smith-Myers,understand,New,895.17,83.55,2024-02-20,PT1649977269,278.66,Gun believe speech assume. Country friend develop table song moment. Try final level some nor.
7567,because opportunity,Musical Instruments,"Petty, Rodriguez and Coleman",along,Refurbished,596.27,169.6,2024-04-14,PT9845158377,955.17,"Forward best ready issue. Ago bar site notice expert your common.
Share woman present alone available western party.
Low good operation manager."
5731,charge future,Jewelry,"Williams, Bell and Marshall",than,New,859.94,120.46,2024-02-29,PT2001528697,224.5,"Pull nice professional baby first and. Finally recognize traditional difference.
Medical trouble as benefit. Beyond manager drop."
2756,glass political,Tools,Holland LLC,they,Used,417.33,47.77,2024-03-16,PT3097438206,125.38,"True word wonder half concern ground.
Only after man because still. Book land hour never.
Sister human baby home use. Interesting second grow include possible might."
7413,language decade,Electronics,Garner-King,however,New,635.74,323.99,2023-10-01,PT7656917932,633.96,Bed several quickly itself collection company town. Practice themselves past responsibility end actually check. Professional local beyond but answer its agent situation.
1093,value ahead,Jewelry,Parker-Myers,remain,Refurbished,968.74,232.36,2023-08-18,PT9054811007,907.56,Late push now customer fill notice child. Pm take nor run only. Bit public sign century later son window.
6015,ask seem,Electronics,"Rivera, Miller and Ayala",lawyer,Used,654.75,488.58,2023-07-10,PT816271465,929.97,"Begin what where. Upon none improve make while discover.
Argue impact happy. Media role financial boy join. Whom test agent simply. Which indeed dark fire call item."
8478,environment you,Tools,Wagner Ltd,reflect,Used,317.12,244.16,2023-06-09,PT2694873695,781.15,"Leg from ready determine professional expect even. Laugh law PM he say could. Agent street to pattern represent throw need. Behavior scientist economic cold rate water occur.
Full red thus left."
